,index_0,index_1,index_2,index_3,index_4,index_5,index_6,index_7,index_8,index_9,index_10,index_11,index_12,index_13,index_14,index_15,index_16,index_17,index_18,index_19,index_20,index_21,index_22,index_23,index_24,index_25,index_26,index_27,index_28,index_29,index_30,index_31,index_32,index_33,index_34,index_35,index_36,index_37,index_38,index_39,index_40,index_41,index_42,index_43,index_44,index_45,index_46
index_0,0,22,27,24,18,12,22,17,17,22,24,20,25,19,27,35,23,21,25,17,10,32,29,24,18,27,22,27,22,17,23,23,25,23,23,25,19,18,23,19,22,25,21,16,19,20,29
index_1,22,0,20,62,55,10,66,61,61,62,55,43,51,55,61,56,56,60,66,62,12,20,59,62,63,51,58,54,62,57,57,59,45,55,65,60,57,54,54,53,66,66,55,41,71,55,49
index_2,27,20,0,30,27,13,25,38,25,42,45,49,38,20,31,50,21,49,35,48,12,19,45,36,53,35,42,29,25,13,38,40,33,26,43,41,33,32,34,36,35,45,33,45,19,29,23
index_3,24,62,30,0,65,11,70,79,71,79,84,62,65,62,76,65,55,92,81,70,12,21,74,84,77,68,77,70,76,59,73,82,58,51,90,73,69,84,79,73,76,83,72,56,60,65,57
index_4,18,55,27,65,0,13,78,79,106,76,76,65,62,74,63,53,66,99,84,66,20,15,80,101,91,75,85,70,67,82,73,98,68,59,108,73,73,68,69,76,83,80,74,52,67,63,78
index_5,12,10,13,11,13,0,12,11,13,11,12,11,13,9,13,14,12,10,10,11,11,13,12,12,13,12,12,10,13,4,15,10,10,13,13,12,11,11,11,12,14,12,13,13,8,10,14
index_6,22,66,25,70,78,12,0,80,83,79,70,53,56,65,69,59,64,84,80,70,12,24,71,84,86,69,82,65,71,72,66,79,57,62,91,64,70,64,73,63,76,77,65,46,65,65,69
index_7,17,61,38,79,79,11,80,0,93,108,102,72,71,71,85,77,69,122,97,92,12,16,83,100,107,76,108,79,90,73,93,104,67,62,116,90,80,93,88,91,91,98,90,67,71,71,69
index_8,17,61,25,71,106,13,83,93,0,90,87,64,67,78,74,58,68,111,86,76,18,15,81,102,100,80,96,76,77,87,76,102,75,65,115,76,82,77,77,80,91,86,81,60,71,68,81
index_9,22,62,42,79,76,11,79,108,90,0,106,73,70,68,75,77,60,122,94,88,16,19,85,102,101,73,108,81,80,69,90,105,67,59,112,90,80,87,92,88,90,91,86,71,68,69,64
index_10,24,55,45,84,76,12,70,102,87,106,0,82,77,77,76,80,61,126,97,87,14,22,87,101,103,74,106,81,75,63,90,106,65,54,108,84,74,91,93,87,89,96,85,75,61,65,67
index_11,20,43,49,62,65,11,53,72,64,73,82,0,61,53,59,67,46,93,73,70,17,16,75,76,86,65,77,68,53,50,71,82,52,45,86,72,62,62,68,69,68,83,69,60,50,59,46
index_12,25,51,38,65,62,13,56,71,67,70,77,61,0,47,57,65,53,77,75,60,18,20,68,74,73,58,80,60,65,48,69,76,59,52,79,67,63,69,67,70,70,74,67,52,49,55,53
index_13,19,55,20,62,74,9,65,71,78,68,77,53,47,0,64,47,58,80,68,59,11,18,67,75,76,63,76,72,62,61,64,84,50,52,83,66,56,60,60,67,66,68,65,46,62,55,54
index_14,27,61,31,76,63,13,69,85,74,75,76,59,57,64,0,63,67,85,79,75,11,21,76,80,86,65,80,70,74,59,76,77,60,58,92,74,70,71,73,70,77,83,73,53,65,62,59
index_15,35,56,50,65,53,14,59,77,58,77,80,67,65,47,63,0,53,79,74,70,19,24,75,70,87,66,74,65,58,39,68,71,59,72,78,75,66,64,62,69,70,77,67,61,59,62,56
index_16,23,56,21,55,66,12,64,69,68,60,61,46,53,58,67,53,0,71,64,63,16,21,68,68,72,60,73,55,65,55,62,68,51,58,69,53,56,57,58,56,70,71,60,39,70,53,52
index_17,21,60,49,92,99,10,84,122,111,122,126,93,77,80,85,79,71,0,110,98,14,16,102,125,120,91,118,93,86,88,98,129,85,58,137,94,88,100,105,93,99,109,94,78,73,83,83
index_18,25,66,35,81,84,10,80,97,86,94,97,73,75,68,79,74,64,110,0,79,12,21,79,105,97,75,98,79,82,75,86,104,67,61,109,83,79,86,87,86,81,92,82,61,68,68,73
index_19,17,62,48,70,66,11,70,92,76,88,87,70,60,59,75,70,63,98,79,0,15,13,79,80,100,64,91,68,79,62,79,83,56,58,85,79,67,78,76,79,82,86,73,70,69,65,46
index_20,10,12,12,12,20,11,12,12,18,16,14,17,18,11,11,19,16,14,12,15,0,11,17,19,15,18,16,15,16,8,21,14,13,19,16,16,13,18,14,19,18,21,18,16,13,14,14
index_21,32,20,19,21,15,13,24,16,15,19,22,16,20,18,21,24,21,16,21,13,11,0,16,19,17,21,17,23,22,13,17,19,18,23,19,14,17,14,21,15,17,22,15,11,14,19,28
index_22,29,59,45,74,80,12,71,83,81,85,87,75,68,67,76,75,68,102,79,79,17,16,0,91,92,74,97,75,69,65,79,96,62,57,99,87,66,71,72,77,91,91,77,65,67,63,56
index_23,24,62,36,84,101,12,84,100,102,102,101,76,74,75,80,70,68,125,105,80,19,19,91,0,99,90,104,90,83,83,92,118,80,64,124,81,84,84,83,85,92,95,89,70,72,74,89
index_24,18,63,53,77,91,13,86,107,100,101,103,86,73,76,86,87,72,120,97,100,15,17,92,99,0,83,110,81,78,75,86,107,70,64,115,90,87,83,86,87,95,98,88,73,71,73,70
index_25,27,51,35,68,75,12,69,76,80,73,74,65,58,63,65,66,60,91,75,64,18,21,74,90,83,0,79,73,61,65,67,90,74,59,92,64,70,61,60,63,67,79,70,59,53,71,77
index_26,22,58,42,77,85,12,82,108,96,108,106,77,80,76,80,74,73,118,98,91,16,17,97,104,110,79,0,82,84,74,91,109,72,64,113,92,83,88,90,94,94,100,88,72,72,71,67
index_27,27,54,29,70,70,10,65,79,76,81,81,68,60,72,70,65,55,93,79,68,15,23,75,90,81,73,82,0,69,58,73,92,62,53,96,76,68,67,68,74,72,79,76,57,57,65,61
index_28,22,62,25,76,67,13,71,90,77,80,75,53,65,62,74,58,65,86,82,79,16,22,69,83,78,61,84,69,0,66,80,81,56,63,85,75,65,84,77,82,79,78,73,51,67,66,56
index_29,17,57,13,59,82,4,72,73,87,69,63,50,48,61,59,39,55,88,75,62,8,13,65,83,75,65,74,58,66,0,56,83,58,52,87,57,62,56,66,57,68,63,59,38,70,56,66
index_30,23,57,38,73,73,15,66,93,76,90,90,71,69,64,76,68,62,98,86,79,21,17,79,92,86,67,91,73,80,56,0,88,57,56,101,87,73,91,80,93,91,91,87,59,66,58,54
index_31,23,59,40,82,98,10,79,104,102,105,106,82,76,84,77,71,68,129,104,83,14,19,96,118,107,90,109,92,81,83,88,0,80,61,127,95,88,84,83,91,90,97,91,72,65,73,86
index_32,25,45,33,58,68,10,57,67,75,67,65,52,59,50,60,59,51,85,67,56,13,18,62,80,70,74,72,62,56,58,57,80,0,52,89,61,76,56,59,60,60,62,58,53,51,59,67
index_33,23,55,26,51,59,13,62,62,65,59,54,45,52,52,58,72,58,58,61,58,19,23,57,64,64,59,64,53,63,52,56,61,52,0,64,57,60,51,50,57,63,64,55,46,63,50,56
index_34,23,65,43,90,108,13,91,116,115,112,108,86,79,83,92,78,69,137,109,85,16,19,99,124,115,92,113,96,85,87,101,127,89,64,0,105,98,95,90,100,99,109,98,76,77,83,86
index_35,25,60,41,73,73,12,64,90,76,90,84,72,67,66,74,75,53,94,83,79,16,14,87,81,90,64,92,76,75,57,87,95,61,57,105,0,81,81,76,95,78,90,83,65,65,62,48
index_36,19,57,33,69,73,11,70,80,82,80,74,62,63,56,70,66,56,88,79,67,13,17,66,84,87,70,83,68,65,62,73,88,76,60,98,81,0,69,67,74,70,78,73,55,61,62,66
index_37,18,54,32,84,68,11,64,93,77,87,91,62,69,60,71,64,57,100,86,78,18,14,71,84,83,61,88,67,84,56,91,84,56,51,95,81,69,0,86,87,85,84,78,60,61,60,51
index_38,23,54,34,79,69,11,73,88,77,92,93,68,67,60,73,62,58,105,87,76,14,21,72,83,86,60,90,68,77,66,80,83,59,50,90,76,67,86,0,76,82,77,73,58,62,56,53
index_39,19,53,36,73,76,12,63,91,80,88,87,69,70,67,70,69,56,93,86,79,19,15,77,85,87,63,94,74,82,57,93,91,60,57,100,95,74,87,76,0,80,86,87,61,64,60,53
index_40,22,66,35,76,83,14,76,91,91,90,89,68,70,66,77,70,70,99,81,82,18,17,91,92,95,67,94,72,79,68,91,90,60,63,99,78,70,85,82,80,0,88,80,62,77,63,58
index_41,25,66,45,83,80,12,77,98,86,91,96,83,74,68,83,77,71,109,92,86,21,22,91,95,98,79,100,79,78,63,91,97,62,64,109,90,78,84,77,86,88,0,87,64,73,69,63
index_42,21,55,33,72,74,13,65,90,81,86,85,69,67,65,73,67,60,94,82,73,18,15,77,89,88,70,88,76,73,59,87,91,58,55,98,83,73,78,73,87,80,87,0,60,63,59,56
index_43,16,41,45,56,52,13,46,67,60,71,75,60,52,46,53,61,39,78,61,70,16,11,65,70,73,59,72,57,51,38,59,72,53,46,76,65,55,60,58,61,62,64,60,0,41,51,50
index_44,19,71,19,60,67,8,65,71,71,68,61,50,49,62,65,59,70,73,68,69,13,14,67,72,71,53,72,57,67,70,66,65,51,63,77,65,61,61,62,64,77,73,63,41,0,57,50
index_45,20,55,29,65,63,10,65,71,68,69,65,59,55,55,62,62,53,83,68,65,14,19,63,74,73,71,71,65,66,56,58,73,59,50,83,62,62,60,56,60,63,69,59,51,57,0,55
